Antibiotic	VME_Acc	VME_Conf_low	VME_Conf_high	ME_Acc	ME_Conf_low	ME_Conf_high	Res_Count	Sus_Count
AMC	0.007306088407005838	-0.0022124347229765017	0.01682461153698818	0.08235294117647059	0.04946282955954253	0.11524305279339864	549	510
AMK	0.0005524861878453038	-0.0009814613840871814	0.002086433759777789	0.1361904761904762	0.048730681579788326	0.22365027080116406	3624	148
AMP	0.0012135922330097086	-0.002155879982036163	0.00458306444805558	0.027709392057218146	0.008866941376971069	0.046551842737465224	4126	1154
AMX	0.0	0.0	0.0	nan	nan	nan	360	0
ATM	0.0	0.0	0.0	0.09411764705882353	-0.03856439213523791	0.22679968625288496	2219	84
AZM	0.00517804775869292	0.0015838123152067487	0.008772283202179092	0.00808080808080808	-0.00827203822938087	0.024433654390997032	773	497
CAZ	0.0006324114623952647	-0.00044282673494208387	0.0017076496597326133	0.4336655592469546	0.3344938163710887	0.5328373021228204	3166	212
CFM	1.0	1.0	1.0	0.0	0.0	0.0	2	3487
CFZ	0.0007722007722007722	-0.001371772282006022	0.0029161738264075667	0.61	0.13232232238000302	1.087677677619997	1294	21
CHL	0.010686116882445354	0.0036149041561548663	0.017757329608735842	0.5755555555555556	0.49849380389056325	0.6526173072205479	2432	45
CIP	0.0421252341058144	0.034384219041934456	0.04986624916969435	0.015178812389161214	0.01017081647317043	0.020186808305151994	5341	6062
CLI	0.17	-0.043262795139806826	0.3832627951398069	0.0014084507042253522	-0.002502035359433519	0.005318936767884223	23	712
CRO	0.003465065274673533	-3.316313090907233e-05	0.0069632936802561385	0.0056432785842630015	0.00352573335456017	0.007760823813965833	3175	6732
CST	0.15348837209302327	0.05642064617506687	0.25055609801097967	0.031974117836186804	0.010359629091434248	0.05358860658093936	215	719
CTX	0.0023809523809523807	-0.004229631202851901	0.008991535964756664	0.08151468188275628	0.053244556941442936	0.10978480682406962	844	441
CXM	0.0	0.0	0.0	nan	nan	nan	858	0
EMB	1.0	1.0	1.0	nan	nan	nan	685	0
ERY	0.044073641145528926	0.03251530070675434	0.05563198158430351	0.015971715782878457	0.012687349005814598	0.019256082559942315	295	1065
ETP	0.01073873873873874	-0.003273553592868928	0.02475103107034641	0.14038208168642952	0.020052061328209164	0.2607121020446499	374	113
FEP	0.0006369426751592357	-0.0011314936975782158	0.0024053790478966875	0.1405292213972968	0.0985902266626042	0.18246821613198938	1576	512
FIS	0.0	0.0	0.0	nan	nan	nan	837	0
FLF	0.0	nan	nan	0.0	0.0	0.0	1	228
FOX	0.0006472491909385113	-0.001149802657085954	0.0024443010389629764	0.2111111111111111	0.034651656164534445	0.3875705660576878	1551	42
GEN	0.0061347647089478345	0.00393856055945059	0.00833096885844508	0.04139598594485141	0.029848123764394274	0.05294384812530854	3097	2899
INH	nan	nan	nan	0.0	0.0	0.0	0	789
IPM	0.009877465421898662	0.003533640558426431	0.016221290285370893	0.02204078193461409	0.006232091860771099	0.03784947200845708	1317	1724
KAN	0.0	0.0	0.0	nan	nan	nan	254	0
LVX	0.0041166441347766335	0.001259224511677807	0.006974063757875459	0.11975393028024608	0.07518489101865747	0.1643229695418347	2913	384
MEM	0.05118091855189322	0.028118797477812717	0.07424303962597371	0.022632708769512098	0.010821744453917552	0.034443673085106645	1367	1944
NAL	0.0012422360248447203	-0.0022067641058357746	0.004691236155525216	nan	nan	nan	806	0
NIT	0.0	0.0	0.0	nan	nan	nan	1265	0
PEN	0.25181818181818183	0.08816375412122254	0.4154726095151411	0.0	0.0	0.0	55	179
PZA	1.0	1.0	1.0	nan	nan	nan	87	0
RIF	nan	nan	nan	0.0	0.0	0.0	0	830
SAM	0.0	0.0	0.0	nan	nan	nan	2139	0
SPT	0.0	0.0	0.0	0.0125	-0.022205563814972486	0.047205563814972484	605	236
STR	0.0	0.0	0.0	0.0	0.0	0.0	837	684
SXT	0.008702384130748739	0.003322612141074619	0.014082156120422858	0.023061434980144423	0.011094460131450937	0.03502840982883791	2988	2559
TEL	nan	nan	nan	0.0	0.0	0.0	0	227
TET	0.014275205611147623	0.011124881908016276	0.01742552931427897	0.0632450333274921	0.03309931792446514	0.09339074873051906	3222	1155
TGC	0.3389986824769433	0.3225823156323086	0.355415049321578	0.019951159951159952	0.004851344294303372	0.03505097560801653	115	452
TIO	0.020229885057471263	-0.016954084706280823	0.057413854821223353	0.01051509370441028	-0.00013553261361957253	0.021165720022440132	147	666
TOB	0.003708805223956739	-7.997069766964293e-05	0.007497581145583121	0.15306373694872993	0.11448337665975084	0.19164409723770903	2424	458
TZP	0.0	0.0	0.0	1.0	1.0	1.0	2633	2
all	0.02251154725564481	0.02161657762687995	0.023406516884409673	0.026651091566488587	0.024883808720123943	0.02841837441285323	60591	37972
