Antibiotic	VME_Acc	VME_Conf_low	VME_Conf_high	ME_Acc	ME_Conf_low	ME_Conf_high	Res_Count	Sus_Count
AMC	0.17617733990147783	0.11355019554853428	0.23880448425442136	0.10550059718543907	0.0849811235527629	0.12602007081811523	874	1962
AMK	0.14345635321873948	0.11243747782258294	0.17447522861489603	0.054661324832349686	0.042375159399000446	0.06694749026569893	1722	4171
AMP	0.035663673821904746	0.02564895304161839	0.0456783946021911	0.060179141213263045	0.047985557420800726	0.07237272500572536	3729	2808
AMX	0.15063291139240506	0.10049754343690263	0.20076827934790747	0.12931334959916346	0.10042387393322262	0.1582028252651043	790	758
ATM	0.027028785168320052	0.022621508866574644	0.03143606147006546	0.1360824742268041	0.10294878793059796	0.16921616052301025	2146	485
AZM	0.06304347826086956	0.006262496824757935	0.11982445969698119	0.03757575757575758	0.029332274173839316	0.04581924097767585	460	825
CAP	0.1750231267345051	0.1073594414552733	0.24268681201373687	0.10428571428571429	0.08202462927820922	0.12654679929321935	234	700
CAZ	0.043712692471381646	0.040046459899602434	0.04737892504316086	0.07704605836537944	0.06365539545905792	0.09043672127170095	3706	1765
CEF	0.1539039039039039	0.07111549227945184	0.23669231552835596	0.05418894830659536	0.0052053575365075475	0.10317253907668317	182	166
CFM	0.07638383838383837	0.05423113650554853	0.09853654026212821	0.024719013294174797	0.009052560739663918	0.04038546584868567	497	2993
CFZ	0.049255285073670725	0.01993986217071999	0.07857070797662147	0.09448275862068964	0.025781198990707077	0.1631843182506722	1116	148
CHL	0.08041237113402061	0.0631196320364605	0.09770511023158072	0.043994872499198825	0.0381801181563922	0.049809626842005454	970	4046
CIP	0.04912426870724225	0.04048320236070535	0.05776533505377915	0.05064635540409307	0.04459692154189013	0.05669578926629601	8611	8352
CLI	0.10512032770097286	0.0824325063068938	0.12780814909505192	0.04325799285231334	0.02239206416597021	0.06412392153865647	314	1017
CLR	0.010526315789473684	-0.018699422159976824	0.03975205373892419	0.021052631578947368	-0.014741441087276676	0.05684670424517141	94	95
CPM	0.0	0.0	0.0	0.0	0.0	0.0	49	117
CRO	0.019152854511970536	0.011814091358473444	0.026491617665467627	0.023356944390091183	0.01775137121706741	0.028962517563114954	2715	2526
CST	0.3422475106685633	0.21418412449316115	0.47031089684396543	0.10650115716389648	0.07908274348130975	0.1339195708464832	187	488
CTX	0.03310785101255655	0.02217813439854597	0.044037567626567124	0.06172349986782977	0.03832453666076323	0.0851224630748963	1087	972
CXM	0.061471861471861476	0.03586212923438114	0.08708159370934182	0.026826463010673533	0.009686171285284928	0.04396675473606214	1155	1044
CZA	0.04	-0.07105780420791194	0.15105780420791196	0.11666666666666667	0.024118496493406708	0.20921483683992664	46	60
DCS	0.3910256410256411	0.2938689701914837	0.48818231185979843	0.15744680851063828	0.10266448366108333	0.21222913336019322	64	235
EMB	0.13341638799641553	0.11595713037466496	0.1508756456181661	0.0923100995441468	0.08503732181125785	0.09958287727703576	1514	7659
ERY	0.08864468864468864	0.054246192487825064	0.12304318480155221	0.044532803180914515	0.031170850970635516	0.057894755391193514	1365	2515
ETO	0.18797979797979797	0.09647818088252129	0.27948141507707464	0.20588235294117646	0.11188446114055052	0.2998802447418024	224	340
ETP	0.03741007194244604	0.027624642004917162	0.04719550187997492	0.04644487932159165	0.0206712201255494	0.0722185385176339	695	732
FA	0.20155038759689922	0.13342674576462638	0.26967402942917207	0.04035040863201752	0.023634695623407823	0.057066121640627215	213	967
FEP	0.056732847449107816	0.043738530009682114	0.06972716488853352	0.10749717896637327	0.08239662107339925	0.13259773685934728	1727	1051
FIS	0.0686315789473684	0.029880251268052695	0.10738290662668412	0.03188405797101449	0.015539169084789532	0.048228946857239455	378	690
FOX	0.06069623806850084	0.04251068172690048	0.07888179441010121	0.07877237851662404	0.05550140914959876	0.10204334788364933	1367	1955
GEN	0.07024748383332521	0.06645403608532223	0.0740409315813282	0.0732218614235316	0.05946596140501073	0.08697776144205246	3929	6856
INH	0.2151898734177215	0.20421415299250187	0.22616559384294113	0.04227108228771971	0.03383230011077301	0.05070986446466641	3555	6884
IPM	0.05669291338582677	0.049190222595834575	0.06419560417581897	0.03580246913580247	0.023729215163213524	0.047875723108391416	1905	3240
KAN	0.1865191146881288	0.09924946942838314	0.27378875994787444	0.07125890220601008	0.042432201111016116	0.10008560330100405	354	1516
LVX	0.052540337236681986	0.0409514203365653	0.06412925413679868	0.11776864357017028	0.09183909979417199	0.14369818734616857	3559	654
LZD	0.014285714285714285	-0.02537778721711141	0.05394921578853998	0.058064516129032254	0.005840910170686886	0.11028812208737762	66	155
