Antibiotic	Acc	Conf_low	Conf_high	Count
AMC	0.872709559279509	0.8669084696918817	0.8785106488671363	2836
AMK	0.9193964555153787	0.9148246649132613	0.9239682461174962	5893
AMP	0.9538047216271736	0.943613589169894	0.9639958540844531	6537
AMX	0.8598329679507255	0.8292323413676781	0.8904335945337729	1548
ATM	0.952866140936934	0.9451115904229284	0.9606206914509396	2631
AZM	0.9533073929961089	0.9325268529476158	0.974087933044602	1285
CAP	0.8779426139957449	0.8635240222337462	0.8923612057577436	934
CAZ	0.945532673375199	0.9389142412331581	0.9521511055172398	5471
CEF	0.8935403726708074	0.8432806046539834	0.9438001406876315	348
CFM	0.9679091104725754	0.9562057707702198	0.979612450174931	3490
CFZ	0.9454294497772759	0.9210837117053807	0.9697751878491712	1264
CHL	0.9489624751244274	0.9442813298686921	0.9536436203801628	5016
CIP	0.9501266290569343	0.9460694718452736	0.9541837862685951	16963
CLI	0.9421446875616006	0.9257489217920924	0.9585404533311088	1331
CLR	0.9842105263157895	0.9663134899826775	1.0021075626489016	189
CPM	1.0	1.0	1.0	166
CRO	0.97882061432553	0.9755303643408842	0.9821108643101758	5241
CST	0.8282063538516568	0.7865912417964019	0.8698214659069116	675
CTX	0.9533827038008174	0.9393753748715148	0.9673900327301199	2059
CXM	0.9549761855456618	0.9393188957821179	0.9706334753092056	2199
CZA	0.9155844155844155	0.8529573550298386	0.9782114761389924	106
DCS	0.7926553672316385	0.7552471523208388	0.8300635821424382	299
EMB	0.9009051551231803	0.8961717298319728	0.9056385804143877	9173
ERY	0.9399484536082474	0.923843959366452	0.9560529478500428	3880
ETO	0.8013590391908977	0.7291134382767959	0.8736046401049995	564
ETP	0.9579585326953748	0.9456704582768671	0.9702466071138824	1427
FA	0.9305045031885223	0.9073795080341341	0.9536294983429104	1180
FEP	0.9240462764923196	0.9207440088287339	0.9273485441559054	2778
FIS	0.9550655960686237	0.9473730554970935	0.962758136640154	1068
FOX	0.9286547694537548	0.9188547798266333	0.9384547590808763	3322
GEN	0.9278629387340809	0.9192727899426948	0.936453087525467	10785
INH	0.8988415696474105	0.8898414037822546	0.9078417355125663	10439
IPM	0.9564625850340136	0.9493034583751526	0.9636217116928746	5145
KAN	0.906934445862186	0.8805268041439608	0.9333420875804112	1870
LVX	0.9373400619324153	0.9266792099436106	0.9480009139212199	4213
LZD	0.9547474747474748	0.9201810688328398	0.9893138806621098	221
MEM	0.9359056132361385	0.9276434633414339	0.9441677631308432	4431
MET	0.982415112386418	0.9742500258095155	0.9905801989633205	1024
MXF	0.9091441101085975	0.8847865213895859	0.9335016988276091	749
NAL	0.9200288909803234	0.8950911445213368	0.94496663743931	2138
NAM	0.7919117647058824	0.6273964528829795	0.9564270765287853	83
NIT	0.8871584905304992	0.8647699429559091	0.9095470381050893	984
NOR	0.9106951871657755	0.8590167711299888	0.9623736032015622	168
OFX	0.8089083589865025	0.7472876639295039	0.8705290540435011	1026
OXA	0.8979012345679014	0.8361862999133228	0.9596161692224799	402
PAS	0.8331148018648019	0.7773771998692308	0.888852403860373	324
PEN	0.923223703389606	0.9029997458396358	0.9434476609395762	1941
PZA	0.900810949715309	0.8945614206331548	0.9070604787974631	6291
RIF	0.9391533777660083	0.9338278893775316	0.944478866154485	11537
SAM	0.9478764478764479	0.9340026062439448	0.9617502895089509	2590
SPT	0.9245490196078432	0.877426906708284	0.9716711325074023	252
STR	0.8930456448947833	0.8815933773247042	0.9044979124648624	5348
SXT	0.9307636928017414	0.9260845901244245	0.9354427954790584	9778
TEL	0.9366840882694542	0.9027981054621795	0.9705700710767288	205
TET	0.9092062243835033	0.9018979613195546	0.916514487447452	8580
TGC	0.8797814207650273	0.8693249577356424	0.8902378837944122	1830
TIM	0.9745967741935484	0.9313966734857826	1.0177968749013142	155
TIO	0.9735253986199368	0.9680853557358863	0.9789654415039873	1133
TMO	0.9882352941176471	0.9682327240982866	1.0082378641370076	169
TMP	0.8477364026179192	0.8120771206081523	0.883395684627686	1051
TOB	0.9218240803932624	0.913454705501797	0.9301934552847277	5027
TZP	0.9076555777477111	0.8979697866164674	0.9173413688789548	3736
VAN	0.9243919871517459	0.9030491260465613	0.9457348482569304	1375
all	0.9274142575535874	0.9258415605166416	0.9289869545905333	194873
