Species	Antibiotic	F1	CI_Low	CI_High	VME	CI_Low	CI_High	ME	CI_Low	CI_High
ALL	ALL	0.9254873010184894	0.9239097433264626	0.9270648587105162	0.0815708994430936	0.0799696173754132	0.08317218151077402	0.06614980119445431	0.06313337349359423	0.06916622889531439
ALL	AMC	0.8529101903717994	0.8423594169898508	0.8634609637537479	0.17617733990147783	0.11355019554853428	0.23880448425442136	0.10550059718543907	0.0849811235527629	0.12602007081811523
ALL	AMK	0.9022122893647341	0.8963199089878536	0.9081046697416145	0.14345635321873948	0.11243747782258294	0.17447522861489603	0.054661324832349686	0.042375159399000446	0.06694749026569893
ALL	AMP	0.9527938261329443	0.9423899608239055	0.9631976914419831	0.035663673821904746	0.02564895304161839	0.0456783946021911	0.060179141213263045	0.047985557420800726	0.07237272500572536
ALL	AMX	0.8597662373014827	0.829184527959907	0.8903479466430584	0.15063291139240506	0.10049754343690263	0.20076827934790747	0.12931334959916346	0.10042387393322262	0.1582028252651043
ALL	ATM	0.9210754669878062	0.9076243496142125	0.9345265843613999	0.027028785168320052	0.022621508866574644	0.03143606147006546	0.1360824742268041	0.10294878793059796	0.16921616052301025
ALL	AZM	0.9491043758777856	0.9258423613132842	0.972366390442287	0.06304347826086956	0.006262496824757935	0.11982445969698119	0.03757575757575758	0.029332274173839316	0.04581924097767585
ALL	CAP	0.844147931147225	0.8251559427946598	0.8631399194997902	0.1750231267345051	0.1073594414552733	0.24268681201373687	0.10428571428571429	0.08202462927820922	0.12654679929321935
ALL	CAZ	0.9379222079208468	0.9302993884837899	0.9455450273579037	0.043712692471381646	0.040046459899602434	0.04737892504316086	0.07704605836537944	0.06365539545905792	0.09043672127170095
ALL	CEF	0.893379578842841	0.8428950211552861	0.9438641365303959	0.1539039039039039	0.07111549227945184	0.23669231552835596	0.05418894830659536	0.0052053575365075475	0.10317253907668317
ALL	CFM	0.9366056424697742	0.9159541718628963	0.9572571130766521	0.07638383838383837	0.05423113650554853	0.09853654026212821	0.024719013294174797	0.009052560739663918	0.04038546584868567
ALL	CFZ	0.8834770405465608	0.8393243630673269	0.9276297180257947	0.049255285073670725	0.01993986217071999	0.07857070797662147	0.09448275862068964	0.025781198990707077	0.1631843182506722
ALL	CHL	0.921245055829292	0.9143352162161272	0.9281548954424567	0.08041237113402061	0.0631196320364605	0.09770511023158072	0.043994872499198825	0.0381801181563922	0.049809626842005454
ALL	CIP	0.950114107230009	0.9460598368812071	0.9541683775788109	0.04912426870724225	0.04048320236070535	0.05776533505377915	0.05064635540409307	0.04459692154189013	0.05669578926629601
ALL	CLI	0.920867413087981	0.8997864866250426	0.9419483395509195	0.10512032770097286	0.0824325063068938	0.12780814909505192	0.04325799285231334	0.02239206416597021	0.06412392153865647
ALL	CLR	0.9841995841995843	0.9662901452078908	1.002109023191278	0.010526315789473684	-0.018699422159976824	0.03975205373892419	0.021052631578947368	-0.014741441087276676	0.05684670424517141
ALL	CPM	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
ALL	CRO	0.9787908245255432	0.9754989751867165	0.98208267386437	0.019152854511970536	0.011814091358473444	0.026491617665467627	0.023356944390091183	0.01775137121706741	0.028962517563114954
ALL	CST	0.7799306444216347	0.7202420336515251	0.8396192551917444	0.3422475106685633	0.21418412449316115	0.47031089684396543	0.10650115716389648	0.07908274348130975	0.1339195708464832
ALL	CTX	0.9531596442605119	0.939041272650619	0.9672780158704049	0.03310785101255655	0.02217813439854597	0.044037567626567124	0.06172349986782977	0.03832453666076323	0.0851224630748963
ALL	CXM	0.9549306369628472	0.939268443571777	0.9705928303539174	0.061471861471861476	0.03586212923438114	0.08708159370934182	0.026826463010673533	0.009686171285284928	0.04396675473606214
ALL	CZA	0.9148061457992809	0.8516385218262348	0.977973769772327	0.04	-0.07105780420791194	0.15105780420791196	0.11666666666666667	0.024118496493406708	0.20921483683992664
ALL	DCS	0.7104764535162583	0.6698079801391515	0.7511449268933651	0.3910256410256411	0.2938689701914837	0.48818231185979843	0.15744680851063828	0.10266448366108333	0.21222913336019322
ALL	EMB	0.8406911253398649	0.8347900464663404	0.8465922042133894	0.13341638799641553	0.11595713037466496	0.1508756456181661	0.0923100995441468	0.08503732181125785	0.09958287727703576
ALL	ERY	0.9340277142473654	0.9161797335205941	0.9518756949741367	0.08864468864468864	0.054246192487825064	0.12304318480155221	0.044532803180914515	0.031170850970635516	0.057894755391193514
ALL	ETO	0.7961521813767948	0.7228351095777832	0.8694692531758064	0.18797979797979797	0.09647818088252129	0.27948141507707464	0.20588235294117646	0.11188446114055052	0.2998802447418024
ALL	ETP	0.9579387683962493	0.9456598246554764	0.9702177121370221	0.03741007194244604	0.027624642004917162	0.04719550187997492	0.04644487932159165	0.0206712201255494	0.0722185385176339
ALL	FA	0.8817906756286378	0.84354003526831	0.9200413159889655	0.20155038759689922	0.13342674576462638	0.26967402942917207	0.04035040863201752	0.023634695623407823	0.057066121640627215
ALL	FEP	0.9190157422274924	0.9151708430956663	0.9228606413593184	0.056732847449107816	0.043738530009682114	0.06972716488853352	0.10749717896637327	0.08239662107339925	0.13259773685934728
ALL	FIS	0.9507186037782663	0.9420585732754367	0.9593786342810959	0.0686315789473684	0.029880251268052695	0.10738290662668412	0.03188405797101449	0.015539169084789532	0.048228946857239455
ALL	FOX	0.9268898954362929	0.9171326657192864	0.9366471251532993	0.06069623806850084	0.04251068172690048	0.07888179441010121	0.07877237851662404	0.05550140914959876	0.10204334788364933
ALL	GEN	0.9230538294664316	0.9142495010152698	0.9318581579175933	0.07024748383332521	0.06645403608532223	0.0740409315813282	0.0732218614235316	0.05946596140501073	0.08697776144205246
ALL	INH	0.8833685150069815	0.8731677235888908	0.8935693064250723	0.2151898734177215	0.20421415299250187	0.22616559384294113	0.04227108228771971	0.03383230011077301	0.05070986446466641
ALL	IPM	0.9533725892675726	0.9458744602895603	0.9608707182455849	0.05669291338582677	0.049190222595834575	0.06419560417581897	0.03580246913580247	0.023729215163213524	0.047875723108391416
ALL	KAN	0.8549124725293666	0.8152054323597162	0.8946195126990171	0.1865191146881288	0.09924946942838314	0.27378875994787444	0.07125890220601008	0.042432201111016116	0.10008560330100405
ALL	LVX	0.8882028301941333	0.871183090807151	0.9052225695811156	0.052540337236681986	0.0409514203365653	0.06412925413679868	0.11776864357017028	0.09183909979417199	0.14369818734616857
ALL	LZD	0.9482391649398707	0.9105051008629812	0.9859732290167602	0.014285714285714285	-0.02537778721711141	0.05394921578853998	0.058064516129032254	0.005840910170686886	0.11028812208737762
ALL	MEM	0.9315371463663821	0.9224883881047755	0.9405859046279886	0.09117620614626602	0.06907068709617105	0.113281725196361	0.047757292239955965	0.039719424689639245	0.055795159790272685
ALL	MET	0.9820776243011217	0.9737437547926152	0.9904114938096281	0.01206896551724138	-0.00013547221536443568	0.024273403249847194	0.02477017364657814	0.009501131980144384	0.0400392153130119
ALL	MXF	0.8826007100846534	0.8523261786936472	0.9128752414756595	0.16072874493927128	0.132850275684084	0.18860721419445856	0.06658622908622909	0.04070296294369919	0.092469495228759
ALL	NAL	0.8639215258510564	0.8240564097974357	0.9037866419046772	0.16619718309859155	0.10146712096657094	0.23092724523061214	0.06281119189248732	0.04020552942868305	0.0854168543562916
ALL	NAM	0.7907452454666076	0.6270106409809939	0.9544798499522213	0.175	-0.001964347122784371	0.35196434712278435	0.24444444444444446	0.05372945812142979	0.4351594307674591
ALL	NIT	0.8080641903067864	0.7787619578278063	0.8373664227857666	0.08176798661461239	0.05596937393940371	0.10756659928982107	0.2683712121212121	0.2359177783190027	0.30082464592342156
ALL	NOR	0.9072002231232814	0.8527072856493105	0.9616931605972523	0.1514285714285714	0.026392392950767618	0.2764647499063752	0.042105263157894736	0.012879525208444223	0.07133100110734525
ALL	OFX	0.7875678524571019	0.7224208222664267	0.8527148826477772	0.24183627317955675	0.17586003673846576	0.30781250962064777	0.16690647482014387	0.09934683848328231	0.23446611115700544
